"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-26","0.01","52","62","46"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-27","0.30","51",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-28","0.00","48",,"35"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-29","0.00","48","63","35"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-30",,"52",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-01","0.00","52",,"36"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-02","0.00","49","75","36"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-03","0.00","48","62",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-04","0.02","46","50","38"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-05","0.19","39","53","31"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-06","0.00","45",,"35"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-07","0.00","52",,"42"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-08","0.00","50","67","40"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-09","0.00","49","60",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-10","0.00","47","60","37"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-11","0.00","47",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-12","0.00","50","68",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-13","0.03","48","57","41"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-14","0.03","49","58","41"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-15","0.38","41","57",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-16","0.06","40",,"31"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-17","0.00","40",,"25"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-18",,"50",,
